,FastText-SVM,,GPT2SP,,Llama3SP,,SBERT-Regression,
Project,Spearmans,MAE,Spearmans,MAE,Spearmans,MAE,Spearmans,MAE
appceleratorstudio,0.1331,2.4765,0.1481,1.8569,0.1779,2.8271,0.176,2.430
aptanastudio,0.2554,4.7726,0.1538,1.8628,0.1257,4.0971,0.266,4.432
bamboo,0.1341,2.0728,0.1927,1.8296,0.1743,3.1448,0.195,1.960
clover,0.2291,3.4879,0.1636,1.8728,0.1050,3.7045,0.240,3.653
datamanagement,0.2678,7.4944,0.1876,1.8325,0.1602,7.8163,0.345,7.410
duracloud,0.1620,2.6691,0.1610,1.8444,0.1624,3.7776,0.241,2.864
jirasoftware,0.2313,2.3667,0.2325,1.7985,0.1050,4.5887,0.122,2.844
mesos,0.2777,1.8103,0.2228,1.8818,0.1455,1.9454,0.342,2.052
moodle,0.2348,12.5499,0.2148,1.8806,0.1592,12.4225,0.336,12.123
mule,0.1968,2.8731,0.2313,1.8616,0.1581,2.7953,0.242,2.706
mulestudio,0.2220,3.3994,0.1754,1.8569,0.1257,3.6966,0.227,3.424
springxd,0.2860,2.1522,0.1580,2.3196,0.1560,2.5552,0.283,2.132
talenddataquality,0.2855,3.5654,0.3294,1.6543,0.1581,3.6185,0.304,3.599
talendesb,0.4148,2.2384,0.1937,2.0932,0.1826,3.5409,0.385,1.920
titanium,0.1873,3.3414,0.0390,1.4796,0.1779,3.4899,0.181,3.378
usergrid,0.1459,1.6105,0.1086,2.0692,0.1721,2.4355,0.229,1.538
Average,0.2290,3.6800,0.1820,1.8746,0.1529,4.1535,0.257,3.654
