Issue,Storypoint
"HDFS ItemWriter
Base integration of core HDFS writer functionality with Spring Batch.",1
"HDFS Core writing helper classes
Simple file writer that has existed in the spring hadoop samples.",1
"Channel Registry
nan",3
"Tuple data structure
The tuple data structure should be backward compatible in functionality for use in spring batch.  Porting over FieldSet tests in spring batch to use the tuple data structure is one way help ensure that compatibility.",1
"Syslog Ingestion
Have a syslog.xml config file that can be added to a module and registered with a module registry.",1
"Basic implementation of a reactor based tcp server
nan",13
"Reactor based http ingestion
When there is support for boostrapping a http server in the reactor project, and inbound SI adapter and associated XD source module should be created.",5
"Initial work that uses the module architecture from DIRT 
nan",5
"Jolokia based aggregator for cluster monitoring
nan",8
"Tail file channel adapters
nan",8
"Design for deploying XD on EC2
create enough of a design to develop additional stories.",3
"Websocket based taps
nan",5
"DIRT Runtime that deploys an application context across multiple nodes using redis.
nan",3
"add file source and sink modules
nan",1
"Create pipes and filters DSL for ingestion
Initial simple handcoded implementation for straight through pipe and filter model, e.g. a | b | c",2
"Basic Performance Test For syslog injestion
nan",20
"Gemfire CQ module for ingestion
nan",1
"Create simple gague service
A gauge just stores a number.  Implementations for in-memory and redis.",1
"Create rich gauge service
A rich gauge stores a number and also rmd, min, max. Implementations for in-memory and redis.",5
"Create a simple counter service
A simple counters can increment/decrement a number.  Implementations for in-memory and redis.",1
"Create field-value counters
A field-value counter is useful for bar chart graphs, Strings on x-axis and count on y-axis.  Maps well to zset in redis. Implementations for in-memory and redis.",5
"Create CI process for XD build
bamboo based",1
"SI Outbound HDFS Channel Adapter
nan",3
"Gradle based multi-project build
multi project build. - look to Spring Framework for source of starting point.",2
"Build script that creates an executable server as an artifact
Gradle application plugin is a good starting point.  this should be the main server that would host SI based modules to do syslog->file ingestion (as an example)",2
"Add JUnit @Rule so Tests Fail Fast with Clear Messaging if Redis Not Available
nan",1
"Metric repositories should support Spring Data CrudRepository interface
This provides common CRUD behavior and a shared interface that can be useful in testing scenarios.  ",5
"Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence
RedisCounterRepository and RedisGaugeRepository have duplicated code that needs to be factored out into a one place.  One such duplication is the determination of the key name to use for persistence.  This should be abstracted out into a strategy helper class.",1
"Remove the expiry of keys in Redis based repositories
There is duplicated code in Redis based repositories that related to expiry behavior, move into a common shared helper class and/or base class.",1
"HDFS sink module
nan",1
"Parameterizable streams
nan",2
"Move Redis Queue Channel Adapters into spring-integration-redis
Currently these implementations are in the spring-xd-dirt module, but they should be moved into spring-integration-redis. We are already depending upon Spring Integration 3.0 snapshots since the ChannelRegistry implementation is not yet at a milestone, so this should be okay for the Redis Channel Adapters also - until Spring Integration M2 is released.",3
"Add tap support to DIRT
syntax:    {code}  tap @ somechannel --key=value | somecounter  {code}  ",2
"Add xd.stream.name property in StreamPlugin
nan",1
"add twitter search source module
nan",1
"Design and document desired high level DSL for configuring data processing in XD
Start to explore how the DSL can cover both advanced (non-linear) spring integration flows as well as spring batch jobs.",13
"XD Metrics backed Message Counter
A Spring Integration based @ServiceActivator that counts the number of messages using the Spring XD metrics support",1
"SI ServiceActivator for an XD Metrics backed Field Value Counter
A Spring Integration based @ServiceActivator that counts the occurrence of field names, from either a tuple data structure or a POJO, using the Spring XD metrics support.",3
"Switch to use Lettuce driver for Redis
Replace the use of Jedis with Lettuce as it has higher performance",2
"add counter module
nan",1
"build.gradle doesn't handle a small handful of libraries
Trying to build spring-xd for the first resulted in lots of errors inside STS (I had an empty .m2 repo).",1
"Tuple should support storing nested tuples
Nested tuple structures shoudl be supported,  getTuple(int index), getTuple(String name)",1
"Saving a metric (Counter, Gauge..) with an existing name should throw an exception
The difference between saving a new metric and updating an existing one needs to be defined.  Suggest that if we try to save when an existing counter is already in the database to throw exception, such as DataIntegrityViolationException.",1
"Create distributable artifact that contains server application and start/stop scripts
The gradle application task should get us most of the way to create a distributable artifact akin to what you see when downloading tomcat/jetty etc.    Now there is a launch task    task(launch, dependsOn: 'classes', type: JavaExec) {  		main = 'org.springframework.xd.dirt.stream.StreamServer'  		classpath = sourceSets.test.runtimeClasspath  	}      The same main should be referenced in the application plugin, a task to create a .zip distributable is needed.    Ideally would be nice to   1. download .zip  2. unzip  3. cd spring-xd/bin  4. xdserver start      and gracefully shutdown later with     5. xdserver stop    I don't know if we can/should bundle redis, I think we should bundle it.    The scripts can be for unix/linux and for windows.      Discuss a brew based install as well.  ",8
"Use the tuple data structure to process data in a spring batch step 
Do not require a POJO in order to do end-to-end processing in a batch step.",5
"Document tuple data structure on XD wiki
nan",2
"Gemfire Sink to update a gemfire cache.
Update a gemfire region.",2
"Gauge and Counter hash and equals should not depend on values
The value is mutable so this causes problems if storing metrics in a HashSet, for example.",1
"Submit a brew-based install for Spring XD
- Host the Spring XD distributable zip somewhere that is accessible by external http request.  - Create brew formula for Spring XD install while specifying redis as dependency.   - starting up stream server upon successful brew install    couple of questions:  - should we name the brew task springxd? (name not taken yet)  - should we start the stream server as part of the brew install process?  - should we specify redis as a recommended dependency? user can pass in 'brew install springxd --without-redis' to skip redis installation. by default, 'brew install springxd' will install redis as well.",8
"Export of data from HDFS to a relational database
Based on a single process running a Spring Batch job, support the ETL of data from HDFS to a RDBMS",8
"Export of data from HDFS to MongoDB
Based on a single process Spring Batch job, ETL of data from HDFS to MongoDB.",5
"Create general structure for AsciiDoc based wiki and Spring XD guide.
Adopt Asciidoc as the markdown syntax, useful for generating pdf and more feature rich than standard github flavored markdown.  Loosely following the conventions of https://community.jboss.org/wiki/TheHolyGrailAsciiDocOnGitHubToDocBookTrain that have generate docbook/pdf docs from the Asciidoc wiki.    The asciidoctor project is a key element in the adoption of AsciiDoc for use as the format in github, it is the rendering engine used by github for AsciiDoc.  See http://asciidoctor.org/docs/asciidoc-writers-guide/ for guidance.    ",2
"Remove UUID from Tuple class or replace with more efficient implementation
The Java UUID class is known not to be the fasted implementation available.     See https://github.com/stephenc/eaio-uuid and http://mvnrepository.com/artifact/com.eaio.uuid/uuid for high perf impls.  ",1
"Provide a http source
stream should be able to ingest data from http ",5
"add test to start/stop stream server
in additional to existing tests that check for redis connection, we need to add tests that start/stop stream server. ",2
"Create XD module for tail file adapter
nan",1
"Add redis bundle to distribution zip file
for linux and mac",5
"Add gemfire-server application to the distribution zip of the project spring-xd-gemfire-server
nan",1
"Documentation for ""http | file"" processing
Put on the guide as a section in an 'input sources' wiki page.    https://github.com/springsource/spring-xd/wiki/GuideGettingStarted    ",1
"End user guide for data streams
Put on the guide as a section in an 'streams' wiki page.    End user focused, no need to mention spring underpinning, impl details.    ",5
"Documentation for ""http | hdfs"" processing
Put on the guide as a section in an 'input-stream' wiki page.      ",1
"Documentation for ""syslog | file"" processing
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for ""tail | file"" processing
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for ""tail | hdfs"" processing
Put on the guide as a section in an 'input-stream' wiki page.      ",1
"Documentation for ""http | gemfire"" processing
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for ""gemfirecq | file"" processing
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for ""twittersearch | file"" processing
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation that introduces taps
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for counter taps
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for gauge taps
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for rich gauge taps
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Documentation for field value taps
Put on the guide as a section in an 'input-stream' wiki page.      ",3
"Normalize and refactor component packaging decomposition
Normalize and refactor as needed functionality currently included in   - spring-integration-core (LocalChannelRegistry)  - spring-integration-module (Module types upon which Flow are built)  - xd-module (Depend Module types common to DIRT and Spring Integration)  - spring-integration-flow (Flow specific types, namespace support, etc)",5
"Document The ability to use flows in streams
Test and document e.g. ""http | flow1 | flow2 | file""",3
"The ability to override default module path for the plugin or an individual flow
Currently modules are assumed to be in classpath:/META-INF/spring/integration/module/${flow}.xml. To reuse modules defined with DIRT  may require more flexibility.  e.g.,   <int-flow:flow root-path=""file:///dirt/module""/>",3
"The ability to import beans referenced in the main context into a module
This should be a core feature of any Spring based module. The plugin should be able to import explicitly referenced beans. This minimizes potential side effects of making the module a child context and is simpler than declaring a shared context (parent) of the application and the module. Provide namespace support for flow:",3
"The ability to route within streams
A Flow or a processor component may require routing semantics. Currently the stream assumes a single input and output for each module. A Flow may support multiple outputs - Switch routing that is - Recipient list is not currently supported (another subtask?). We need to support semantics like:  a |[output.foo:c,output.bar:d,default:e]",8
"Documentation on the module system and how to contribute new modules
For people who are familiar with Spring/Spring Integration provide documents that show how to add additional input sources/sinks.",3
"Sonar build is failing
https://build.springsource.org/browse/XD-SONAR-34    Caused by: java.lang.ClassNotFoundException: org.sonar.api.Plugin          at org.codehaus.plexus.classworlds.strategy.SelfFirstStrategy.loadClass(SelfFirstStrategy.java:50)          at org.codehaus.plexus.classworlds.realm.ClassRealm.loadClass(ClassRealm.java:244)          at org.codehaus.plexus.classworlds.realm.ClassRealm.loadClass(ClassRealm.java:230)          ... 94 more",1
"Rename Tuple class in spring-xd-tuple
The Tuple classes in Reactor follow the more traditional data structure concept of Tuples, an immutable fixed length sequence of values where each value can have different types.  They are ordered and can often be access by index.    An example in a static language is the Tuple class found in .NET http://msdn.microsoft.com/en-us/library/system.tuple.aspx or in Scala http://www.tutorialspoint.com/scala/scala_tuples.htm    Using this standard definition of a Tuple, they do not support named values.  There is also a different tuple class instance for each length, e.g. Tuple<T1,T2>, Tuple<T1,T2,T3>.    The Tuple class in XD is more like a record or named tuple.     Python has a named tuple concept - http://docs.python.org/2/library/collections.html#collections.namedtuple    and http://stackoverflow.com/questions/1490413/languages-that-allow-named-tuples shows that other languages use the term 'Record' for a 'named tuple' - Haskell, Standard ML, OCaml, and F#.    http://en.wikibooks.org/wiki/F_Sharp_Programming/Tuples_and_Records#Defining_Records    So boiling it all down, to avoid conflicts of names, and also to open up the possibility of using Reactor tuples as keys (instead of strings for names), we should change the name to either NamedTuple or Record.  ATM, there is no direct relationship between Reactor's Tuple and NamedTuple (such as inheritance) and so probably Record is the way to go.      ",2
"Add gradle tasks that build and bundle the redis server
nan",2
"Create XDContainer class to start stream server
Provide optional command line arg to embed the container launcher, aka - xd-admin server.    XDContainer.sh --embeddAdmin",1
"Create XDAdmin server to start container launcher
This will launch the RedisContainerLauncher, in future will be able to select from a variety of middleware options.",1
"Add README to be included in root directory of distribution
should explain basic layout of the distribution",1
"Add LICENSE to be included in root directory of distribution
should contain apache licence",1
"Container server does not log a message that it has started or stopped successfully
$ ./xd-container  processing module 'Module [name=file, type=sink]' from group 'tailtest' with index: 1 processing module 'Module [name=tail, type=source]' from group 'tailtest' with index: 0   Logging of 'processing module' should have log level, time..",1
"Clean shutdown of redis in xd-admin
A ctrl-c of xd-admin results in exception messages about disconnecting from redis.  14:16:07,327 ERROR task-scheduler-1 handler.LoggingHandler:136 - org.springframework.data.redis.RedisSystemException: Redis command interrupted; nested exception is com.lambdaworks.redis.RedisCommandInterruptedException: Command interrupted ",2
"Build script should not package 'spring-xd-dirt' scripts 
We are packaging separate scripts to start XDAdmin and XDContainer.  The Gradle application plugin will generate an unwanted 'spring-xd-dirt' scripts, this should be removed from the bin directory when creating a distribution zip.",1
"Documentation for starting Spring XD servers
nan",1
"Remove use of system property xd.home to define location for install location, rely on environment variable XD_HOME
This is in the AdminMain and ContainerMain.      Can get the environment property directly in java code unless provided explicitly on the command line using --xdHomeDir.",1
"Create final distribution zip across multiple projects
The final directory structure should look like    <install-dir>/xd  <install-dir>/redis  <install-dir>/gemfire    inside the XD directory     /xd/bin - which has xd-container and xd-admin scripts  /xd/lib    inside the gemfire directory  /gemfire/bin - has the gemfire-server script  /gemfire/lib     inside the redis directory is     /redis/redis-latest-v.x.y.z.tar  /redis/README  /readis/install-redis  - script that does the basic 4 commands to install redis.      There should be a gradle task that runs after the distZip task, that will take the contents of different project directories, script diretories and 'redis-binary' directories and creates the final layout for the distribution.",5
"Update XD to Use SI 3.0.0.M2
nan",1
"Add install script for Redis
This assumes the redis source tar is available under $rootDir/redis/redis-2.6.13.tar.gz    The install script does the following:    - Check the platform OS & arch  - unzip the tar, compile the sources",2
"add SpEL 'transform' processor
It should provide an 'expression' param for SpEL and have a default pass-thru of the payload.",1
"add SpEL 'filter' processor
It should provide an 'expression' param for SpEL and have a default value of true (accept everything).",1
"add spring-integration-groovy to container dependencies
This will enable the use of groovy scripts within modules.",1
"replace testsource with time and testsink with log
This should facilitate testing while avoiding any class dependencies. Also, log is a generally useful sink by itself and time is a more interesting source for testing (should accept --interval for the seconds between time messages).",1
"HDFS sink should default to hdfs://localhost:8020
The current default is hdfs://localhost:9000 but most new distributions/installs use 8020",1
"Find and eliminate package-level cycles across XD projects
nan",3
"Add pre-compiled redis distributions for the selective OS platforms
nan",10
"XD scripts need to have spring-integration milestone versions updated
Spring-integration version is changed to 3.0.0.M2 and since we manually create the XD scripts, they still point to the 3.0.0.BUILD-SNAPSHOT version.  As discussed, we also need to have a better strategy on updating the lib directory inside the XD scripts.",2
"XD scripts lib path needs to be dynamic
We currently have the manually created XD scripts. This makes it difficult to maintain as the lib path is error prone with the changes. We need to make sure that the properties such as lib path etc., are dynamically updated.",3
"Clean shutdown of redis in xd-container
Need to shutdown cleanly, no exception messages are shown.  Order of components in the stream should be shut down from 'first to last'  (opposite of creation)",2
"Stream documentation review
nan",2
"Documentation for sources, sinks, modules should define which attributes are required and which optional
This will eventually be supplied by the admin server, but for now write it up by hand in the documentation",2
"Create TCP source module
Based off SI tcp inbound adapter.  This will allow for event forwarding that can select among the existing SI serialized/deserializer options. ",3
"Create TCP sink module
Based off SI tcp inbound adapter.  This will allow for event fowarding.",3
"Documenation for building/starting redis servers
nan",2
"Remove container entry in Redis when the application context event to shutdown the container is fired
nan",3
"Upgrade Lettuce to 2.3.2
nan",2
"Profile support for modules
To allow for groups of beans to be defined or not in the container that runs a module.    When deploying a stream (e.g. via the REST API), it should be possible to also provide profile names. Then those would apply to any modules within that particular stream deployment.",8
"Fail Sonar CI build if there are any package tangles violated.
Similar to what would show up on structure101 reports.",1
"Investigate link checking tool for user guide
Asciidoc/doctor might have one as part of it toolchain",2
"Documentation on XD Architecture
Show overall flow of data in a stream, the server components 'admin' and 'container'.  How modules are deployed.",4
"Documentation that points on how to install hadoop
Pointers to other documentation on how to install hadoop. ",3
"Release Spring XD 1.0 M1
nan",5
"Prepare blog post for M1
nan",5
"Update README.txt to include instructions on how to build
Building XD should not be part of the out first out of the box experience, but we should include some instructions on what targets are available, such as distXD.",2
"Parameterize syslog Source; Add Support for TCP
The syslog source currently is hard-coded to use udp on port 11111.    Need to parameterize the port and provide an option to use TCP.",2
"install-redis script should not use relative path to determine redis source dist
Currently, the install-redis script uses relative path to determine redis source  dist file. Since this is error prone, we need to fix it.",1
"StreamServer Context Lifecycle Issues
The {{ModuleDeployer}} calls {{getBeansOfType}} before the context has had its {{PropertySourcesPlaceholderConfigurer}} attached. This can cause issues with {{FactoryBean}} s with placeholders in constructor args because the unresolved placeholder is used when the {{FactoryBean}} is pre-instantiated to determine the type of object it will serve up.",8
"Create externalized property file to support connectivity to redis
We need to have an externalized property file(under xd/conf/) for the xd-container & admin scripts to use as options. ",3
"Remove use of application plugin for redis project
Currently redis project uses application plugin to bundle distribution. This also includes 'java plugin' which causes java specific build behavior on this project. We should try removing the use of application plugin and use something similar or custom tasks that does the bundling. ",2
