Issue,Storypoint
"SQL Server Single Sign On Support doesn't work in data profiler repository connections
In the data profiler perspective, you can't use the Single Sign on libraries to connect to SQL Server, even if the library is loaded.  We've used the Single Sign On capabilities in the job designer and haven't had any issues running jobs, using the data viewer, etc; however, when you switch to the data profiler, the connection returns that the library isn't loaded, and to check the java.library.path system property - which has the values appropriate for the library.  Everyone has installed the dll from the jtds project in their library paths.",3
"Remove two columns in frequency tables
in the ""b01_column_basic.jrxml"" report, frequency tables must not have the following columns:   ""INDICATOR OK"" and ""INDICATOR PERC OK""    See screenshot.     TODO: remove these columns in all kind of frequency table.",8
"Connection analysis : information_schema
When you create an connection analysis on mysql, you can retrieve informations from all databases except information_schema where data are 0 or NaN.    But i have tables and data in this schema",5
"multiple analysis indicators are ""grayed out"" and cannot be used
When attempting to analyze DB2 table columns, not all analysis indicators are available",3
"""View invalid rows"" menu does not display on a table analysis (with DQ Rule)
If the DQ Rule has a ""join condition"", it is impossible to view the ""invalid rows"" from the analysis results: the option is not displayed.    See the screen captures.",8
"Hide MDM connection in the Data Explorer perspective
I have a MDM connection in my DQ repository and a Mysql connection.  When I switch to the Data explorer perspective and try to open a ""new SQL Editor"", I got the exception shown in the screen capture. ""c"" is an MDM connection.      We should hide MDM connection from the Data Explorer perspective.",3
"Reload database list on MDM connection doesn't work
""Reload database list"" action on MDM connection doesn't work.",20
"list of patterns does not display folders
See bug:10936  It is working correctly in 4.0.0M3 but it's not working in 4.0.0.",3
"Improve the error message when I declare the Data Profiler reporting DB
If I declare a DB into preferences on Data Profiler reporting I have an error with no message.    (with no grant access on the user).    Is it possible to add a better message than this picture ?",5
"Import Oracle synonyms in to Metadata
Hi,  Request you to include the feature to import Synonyms from Oracle database along with Tables and views in to the Metadata Tree under DB Connections and then be able to create and run analysis on the Synonym.  Thanks,  Chandana Busetty",40
"After Time correlation analysis running, my studio got stuck
create a new Time correlation analysis, use ""tbi"" database, ""customer"" table, ""birthday"" and ""date_accnt_opened"" column(which contains NULL value), run this analysis   after that, while I want to do any other operation, the studio will be very slowly   I'm not sure the reason, but mzhao told me, perhaps it's about the column which contains NULL value...",8
"analysis run by right click, the summary section not right
open an analysis, and run it by right click -- ""Run""  the summary information not right  for eg:  the ""Number of Execution"" should +1  but it's not, if I run with the toolbar button in the editor area, it will +2    take a look at testlink case ...",3
