Issue,Storypoint
"Add Copy URL actions to right-click context menu of Remote view for S3 files
I was able to connect to our Appcelerator S3 bucket to drag and drog copy image files that I wanted to refer to remotely from the Desktop packaging release links webpage. But I had no easy way to tell what the various URLs were that I could use to refer to the resulting S3 objects/files. Cyberduck lets you right click and choose Copy URL > HTTPS, HTTPS, Signed URL (expiring in one hour, one day, or one week + one hour), Torrent URL.",5
"Aptana tries to open a new instance of itself when opening files via Windows Explorer
{html}<div><p>Assigned to <a href=  ""http://aptanastudio.tenderapp.com/discussions/problems/49-aptana-tries-to-open-a-new-instance-of-itself-when-opening-files-from-win-explorere"">  Tender issue #49</a>. As reported in Tender:</p>  <blockquote>  <p>OS: Win XP</p>  <p>When Aptana is running and I try to open files from my Windows  Explorer (with double click or enter) Aptana displays ""Workspace in  use or cannot be created, choose a different one"" after showing the  splash screen for 2-3 seconds.</p>  <p>Dragging files into my running instance won't cause this  behavior. Opening files from my Project view causes no problems,  except .htaccess files. As a temp solution I chose to open  .htaccess files with Notepad.</p>  <p>This is what I already did (with no luck);</p>  <ul>  <li>My installation folder and workspace folder are both  writable.</li>  <li>I did several complete re-installs.</li>  <li>I removed the .lock file in my workspace folder.</li>  <li>I created a new workspace folders and switched to it.</li>  <li>I have administrator rights.</li>  </ul>  <p>Creating a new workspace will fix my problem temporary but the  problem is back within a week.</p>  <p>In Aptana 1.2 I never saw a splash screen when Aptana was  running and I opened another file. The files were just loaded in  the running instance. Is this caused by Eclipse 3.5?</p>  <p>This is quite annoying cause every time the splash screen shows  it either takes up 3 seconds of the file won't open due to the  locked workspace.</p>  </blockquote></div>{html}",8
"Content assist popup is shown outside the screen boundaries
As you can see from the image, the JavaScript content assist popup displays outside the screen boundary to the right.  ",8
"PHP Autocompletion for parent methods
When you overwrite a parent method you often need to call it from the new method, example:    {code}  <?php    class Parent {     public function doSomethingHard() {  }  }    class Child {     public function doSomethingHard() {            $this->bla = 'foo';            return parent:: # content assist here should have doSomethingHard()    }  }    ?>  {code}    Aptana does not autocomplete the methods after ""parent::""    Suggested fix:    # Attempt to replicate  # Check to see if the item is fixed in 5.4, or in a newer version of the 5.3 parsers  # If not in our code and can't be fixed, link to PDT issue referencing the problem",13
"Dragging an image into the HTML editor should create an image tag
Dragging an image into the editor should create a img tag.    You can view this behavior in TextMate.    Dropping an image onto the HTML editor inserts an image tag with the relative path to the image (from this HTML file), the hight and width, and the alt text as the initial-capitalized version of the filename:    i.e. dragging ""notes.png"" gives me:    {code}  <img src=""images/notes.png"" width=""32"" height=""32"" alt=""Notes"">  {code}  ",8
"singleton scriptdoc / code completion
Given this pattern:    {code}  var myObject = function () {     var self = {};     var priv = ""blubb"";     self.get = function() {         return priv;     };     return self;  }();  {code}    Aptana Studio is not able to recognise this pattern correctly.    I wonder if it's possible to tell Aptana with ScriptDoc. If yes, how? I've only seen comments for classes. Additionally var self = {}; could be replaced by a super constructor, which is not working either.    Can I expect this to be supported naturally by Aptana soon? I'm really searching for a good javascript IDE which also supports this  kind of writing javascript in a object-oriented way.",13
"Aptana Studio does not ship with debugger sample
Trying to get started with Aptana Studio Debugger on a  standalone install of Aptana Studio 2.0 (Mac OS X 10.4 -  Intel).    Following online help:  ""This walkthrough will instruct you how to install the Aptana  JavaScript debugger, add a breakpoint to your code, and display the  current values of your variables. 1. Import the debugging sample as  a project.    In the Samples View, expand the Aptana Studio Samples node.    But in the Samples View I don't have the specified node, I only  have samples related to plugins I have installed. Where do I get  the Aptana Studio Samples node ?",8
"Redraw error when using JS snippet
{html}<div><p>This may actually be an issue with my VM, but I'm posted this in  case it's indicative of some other issue.</p>  <ol>  <li>Open a JS editor<br></li>  <li>type: for<br></li>  <li>type a tab<br></li>  <li>Allow enough time to pass so that the popup appears next to the  two ""for"" snippets that are available<br></li>  <li>type: 2</li>  </ol>  <p>At this point, the two popups go away but I see trash further  down the screen. That trash moves as I add/remove lines.</p></div>{html}",8
"PHP Debugger
This is something that was shipped with 1.5 (skipped out on 2.0 so don't know if it's there). Don't know if this is planned for 3.0 (on the product page I've seen that JS debugging is coming soon),  yet it would be great if this were to be found into Aptana again (same goes for the ability to run a script through the PHP parser to get the output).    I've found the debugger to be one of the main Aptana features I use during my lectures (I'm a lecturer at a technical university), helping the students to understand what's going on on ""the inside"" of a PHP process.",40
"Project Explorer is showing duplicate files and folders
In the attached image, Project Explorer.png, you can see the current improper behavior. In attached image, C-C++ Projects.png, you can see the expected behavior. The view is proper in Project Explorer for Web Projects. This is with a new install of Eclipse Helios CDT and Aptana Studio 3 on Arch Linux.    This also appears in a few other circumstances (see linked issues).",13
