Issue,Storypoint
"Asset data does not correctly obey contextual ownership like the entity
""The asset data endpoint     /assets/UUID/data does not correctly obey contextual ownership.     For instance, if the default role permission are set to this after removing all existing.     GET,PUT,POST,DELETE:/users/me/**     A user should only be able to perform the operations on their entity /users/me, and all sub collections. For instance the following scenario should work as described.     # App default role permissions are edited to match the path above   # User """"bob"""" registers for app   # User """"bob"""" creates the following asset and uploads data. /users/me/assets/myasset and /users/me/assets/myasset/data     # User """"fred"""" registers for app   # User """"fred"""" should get a 404 on both /users/bob/assets/myasset, and /users/bob/assets/myasset/data     # Anonymous user should get a 404 on both /users/bob/assets/myasset, and /users/bob/assets/myasset/data     See org.usergrid.rest.applications.users.OwnershipResourceIT for some examples.   """,3
"Expose refresh token at the REST tier
Need to add refresh token capability to the rest tier.      May be able to update our oauth impl.  Also, refresh tokens were in the core but were removed some time ago.  Might be able to go back to commits prior to it being removed to see it.    ",3
"Bad geo query returns entire collection
""When a badly formed geo query is sent with a GET, the API returns the entire collection, when it should return nothing, or return some sort of query parse error.     For example, this is missing the 'location' param of the query statement:     within 16000 of 37.774989,-122.419413     and returns the first 10 entities in the collection even though the query can't be parsed.   """,3
"Empty string doesn't remove an entity property (null doesn't work either)
""Users should be able to remove entity properties using either empty string or null     1. Test to see if either works   2. if empty string does not work, then setting empty string should keep the property but set it to an empty string   3. null should always remove the key       curl -X POST -i -H """"Authorization: Bearer YWMt4i6fzEJREeOh0FGOwhrLOAAAAUIzm9d9wtwQTdewhc1I1Kg8d8yyMOVVQv0"""" """"htts://api.usergrid.com/1hotrod/fdfdsafd/books/8dd42b7a-4325-11e3-a8a9-2be66bc83082?ql="""" -d '{""""fred"""":""""""""}'     or     curl -X POST -i -H """"Authorization: Bearer YWMt4i6fzEJREeOh0FGOwhrLOAAAAUIzm9d9wtwQTdewhc1I1Kg8d8yyMOVVQv0"""" """"htts://api.usergrid.com/1hotrod/fdfdsafd/books/8dd42b7a-4325-11e3-a8a9-2be66bc83082?ql="""" -d '{""""fred"""":null}'""",3
"Fresh Admin user token won't work on /management/users/me
""After logging on:    curl -X POST """"https://api.usergrid.com/management/token"""" -d '{""""grant_type"""":""""password"""",""""username"""":""""fdsafdsa"""",""""password"""":""""fdsafdsafdsa""""}'       The user is not able to log in with the token:    curl -X GET -i -H """"Authorization: Bearer YWMt997XKhAyEeO7oblzQPxkkAAAAUDrIyfHE8GIZlo8IhJztOX2JQ7kXpbFTHc"""" """"https://api.usergrid.com/management/usersfdsafdsa""""      But the token works with other endpoints.    ***Update***: Looks like the problem is that the /management/users/<username or email> endpoint is not case-insensitive on the username or email address. We need to update that API call so that it is case-insensitive.          """,3
"Collection counters on App endpoint are completely off
""The counts of items in each collection returned in a call to /org/app are completely off (usually by a factor of 10). This is possibly related to USERGRID-17. Can we do something to fix this?    Possible solution in two parts:  1. Investigate all code paths to ensure that counters are being invoked when needed    2. Create a job that can be invoked automatically or manually that will recount all entities in a collection  """,3
"Offer an option to delete all inbound and/or outbound connections on entity delete
""Per Ed, all inbound connections should be cleaned up when an entity is deleted:     For example, if you have entity rock and entity paper who both like entity scissors, both likes connections to scissors should be deleted if scissors is deleted.       It would be great if there was an option to delete all inbound connections when an entity is deleted (the same flag should also be possible on deletes by queries).""",3
"Limit on connection query not working
Also ""limit"" doesn't seems to be working for connections for e.g. https://api.usergrid.com/fdsafdsa/test/users/me/connecting/shares?limit=2&access_token=YWMtSQ92bBCsEeOYAQ1TRlcn_AAAAUDuPjgtlh06pENBKFRmoxta8jg1XwRuwVs. Returns all in our case is 3",3
"We don't seem to be parsing '++' correctly
""I have made a simple app to test Usergrid's capabilities and I'm having trouble with updating entities that contain html entities.   i.e. I add C++ as an entity in a collection called language and I also have C in the collection too. Whenever I try to update C++, which I grab via a collection query   """"select * where owned='testuser' and lang='C++'""""   I get back the C entity.   I have tried encoding the strings , but C%2B%2B  gets double encoded to C%252B%252B   This a typical call it makes without me trying to encode anything:   https://api.usergrid.com/clydebyrdiii...   Although it seems to encode correctly it returns the entity with lang='C' and not  lang='C++';    And confirmed by Scott:   Nope. If I create an entity with an attribute = 'c++', I can find it by querying for: 'c*' but not for 'c' or 'c+++'.   """,3
"/collection/id/connected/* paths should either return an entity, an empty set or a 404
""Not clear what that path is supposed to do but itÕs accepted, and always returns an empty set of results or an error     Examples:     curl http://api.usergrid.com/fdsafdsa/sandbox/users/tim/connected/followers   => returns empty set despite follower relationships existing   curl http://api.usergrid.com/fdsafdsa/sandbox/users/tim/connected/users   => returns empty set despite users being connected   curl http://api.usergrid.com/fdsafdsa/sandbox/users/tim/connected/d2740256-e312-11e1-ad17-12313d2b9232   => returns an error despite an entity with that UUID being connected     1. Either we should accept a name or uuid at the end, and return that entity if it exists in the ÒconnectedÓ entities, or a 404 if it does not exist in the list of connected entities   2. Or we should accept a relationship identifier there and return all connected entities through that identifier, or an empty set if there are none   3. Or we should accept a collection name / type there and return all connected entities of that type, or an empty set if there are none   4. Or you should tell me what is supposed to be provided there so we can put that in our docs and SDKs :p""",3
