Issue,Storypoint
"Investigation: S1 Improved user experience with TOS/TIS/ESB Studio
nan",5
"Investigate: S2 Business Service Implementation and provider registration in TOS/TIS/Studio
nan",5
"Investigate: S3 Improved XML Data Handling Components in TOS/TIS/Studio
nan",5
"Investigate: S7 TIS RTx based on the Service Factory
nan",5
"Investigate: github migration new opportunities and challenges
nan",5
"S9 Investigate MDM Call ESB Provider from MDM Trigger
nan",5
"Common - Setup ESB Runtime Code Repositories (gitHub)
Code Repository: It is expected that we setup a new git (gitHub) Code Repository for the 'new' Talend ESB Development Tasks with the goal that this repository contains all of our artefacts which will be later on part of the new ESB 4.0 and higher code base. ",3
"Initial Build System Setup
- Concept within our Wiki how the internal build system is structures   - Focus on using Maven 3 (+Tyco)  - We use Nexus for the 3rd parties (Maven Repo) but here we should have potentially 2 repos and we might go away from snapshots to fully versioned artefacts even within the development repo (for 3rd parties)   - Evaluate the pros / cons to continue with Cruise Control or if we get some significant featurews with Hudson",3
"Get familar: CXF
for all of the team mebers who not worked with CXF before we asked you to get familar with CXF by using / exporing a bit the documentation and examples on the Apache CXF web-site but also the Documented Examples provided with the Talend SF Release 2.3.1. ",8
"SL: Service Locator - Install
Get familar and install Zookeeper (Apache Hadoop subproject) and get used with the distributed setup and web-ui provided by Zookeeper",2
"SL: Service Locator Provider registration
Create a CXF Interceptor in a way that we could register the current provider via the standard Zookeeper client.",3
"Agreed policy handling with CXF
This item is intended to deliver:  - A concept how we deal with Agreed Policies in general in the CXF environment  - Define and configure a CXF Processing Chain based on a Agreed policy (for now the current SR Agreed polices)  - This BI is more like a proof-of concept implementation",5
"SR: Web-UI Mock-UP
Create an initial UI Specification for the new Service Registry (Runtime Registry)  Based on the featues and API defined in TESB-141 and TESB-479.  From a Look & Feel the SR UI should be aligned to the TIS (Admindistration Center)",2
"proxy settings for Web Service schema: mandatory user/password
in the proxy settings of the Web Service schema user/password are mandatory.  Should be optional fields.",1
"XML mapping dialog doesn't support namespaces from imported XML Tree
import importedXmlTree.xml as XML Tree in ""Configure Xml Tree"" dialog of tWriteXMLField     produced output:  {code:xml}  <soapenv:Envelope>    <soapenv:Header/>    <soapenv:Body>      <v2:getResource type=""ServiceDescription"">        <Namespace>http://services.sopera.org/demo/1.0</Namespace>        <Name>TestService</Name>      </v2:getResource>    </soapenv:Body>  </soapenv:Envelope>  {code}    but expected:  {code:xml}  <soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"">    <soapenv:Header/>    <soapenv:Body>      <v2:getResource xmlns:v2=""http://types.sopera.org/ServiceRegistry/query/V2.0""          type=""ServiceDescription"">        <Namespace>http://services.sopera.org/demo/1.0</Namespace>        <Name>TestService</Name>      </v2:getResource>    </soapenv:Body>  </soapenv:Envelope>  {code}  	  i.e. namespaces are ignored during importing XML Tree    and to achive desired output you should manually add namespaces to XML Tree in ""Configure Xml Tree"" dialog  ",1
"XML mapping dialog doesn't support namespaces correctly from imported Xml Schema
import importedXmlSchema.xsd as XML Tree in ""Configure Xml Tree"" dialog of tWriteXMLField     produced output:  {code:xml}  <Id xmlns=""http://types.sopera.org/ServiceRegistry/common/V2.0""      type=""ServiceDescription"">    <Namespace>http://services.sopera.org/demo/1.0</Namespace>    <Name>TestService</Name>  </Id>  {code}    but expected:  {code:xml}  <com:Id xmlns:com=""http://types.sopera.org/ServiceRegistry/common/V2.0""      type=""ServiceDescription"">    <Namespace>http://services.sopera.org/demo/1.0</Namespace>    <Name>TestService</Name>  </com:Id>  {code}    i.e. nested elements should be in default (empty) namespace    and to achive desired output you should manually reconfigure namespaces to XML Tree in ""Configure Xml Tree"" dialog  ",1
"XML mapping dialog doesn't allow to choose type of imported Xml Schema
import multipleTypes.xsd as XML Tree in ""Configure Xml Tree"" dialog of tWriteXMLField     there is no possibility to choose schema type to use in XML mapping    also reproducable via creating ""File XML"" metadata (""OutPut XML"" type) using schema from file  ",1
"SL: Create Service Locator UI Mock-Up
Create a specification for the Service Locator UI.    Remark:   Even though the Apache Zookeeper Project provides some Ui it is not really very inuitive to visualize the appearance and removal of Service Providers.    Technical Remark:   The UI is a web ui and the implementation will be made with GWT.",3
"SR: Specification of the updated Talend ESB Registry
Provide a specification for the new Talend ESB Registry which has a stronger focus on a pure Runtime SR.    This part of the specification is expected to describe in detail  - The use cases we support with the new registry (and also which once we will no longer support from the ASf Registry)  - the Service API  - the Data Model /relationships we can maintain with the SR  - The implementation technology for the content repository (final decision for / against using Jackrabbit)    As a base for the spec please use:   http://wiki.servicebackbone.org/wiki/index.php/TESB:ServiceRegistry",5
"SR: Define Deployment package structure + examples
Definition of the structure (zip file) which we allow to 'deploy' within the SR (WSDL, Policies, etc.)   The structure is intented to be implemented later on by the deploy operation.",2
"STS:  Provider Implementation (Servlet) (API + dummy issue operation implementation)
Implement a new CXF Provider based on the WS-Trust 1.4 (!) API. The primary deployment for this STS Provider will be Tomcat 6 (WAR File). The Provider is also expectred to run later in a OSGi Environment (Equinox + Karaf).  (For the WSDL and Spec of WS-Trust 1.4 STS see http://docs.oasis-open.org/ws-sx/ws-trust/v1.4/os/ws-trust-1.4-spec-os.html)    Additionally:  Implement the 'issue' operation of the service in a way that for a given UsernameToken and/or X.509 Token, we return a 'dummy' SAML Token (Spec. 1.1) which is created by using the latest version of OpenSAML 2.3.1. (so far it is ok to always return the same 'example SAML Token within the 'issue' operation implementation.     ",3
"Documented Example: 'Rent-a-Car' Service for Talend ESB - OSGi
Rebuild the Rent-a-Car Service as CXF JAX-WS Consumer & Provider similar to the once we provided in the Swordfish Tutorial for Helios. Also the Swing Client should be migrated and work within this example with the new Talend ESB Service consumers and providers and within our OSGi Container (Equinox + Karaf).    It is expected that the consumer can switch between a static (local config/policies) and a dynamic (SR policies) even though initial it only needs to work with local configuration/policies. ",3
"Develop, test and document Talend ESB Consumer Component
nan",5
"New components: tESBProviderRequest and tESBProviderResponse
Develop, test and document two new components: tESBProviderRequest and tESBProviderResponse.  These components should work similar to the tWebServiceRequest but from the provider side.  Code generated by these components should use ESB Service Factory (aka CXF).",3
"Integrate developed components with Talend Testing Framework
nan",5
"Create a build infrastructure (CI, build scripts, etc)
nan",3
"RTC: Policy resolver impl.
Implementation of an initial policy resolver which is able to configure the processing chain in CXF by an effective policy document we get from 'outside' (could be a local file).     Limited to be demonstrated with existing CXF policies (e.g. Authentication)       Assumptions:  For each endpoint (Consumer/provider) the user can decide if the chain is dynamically (SR provided policy / config) or static configured (local config/policies) - We will at least initially not support a mixed mode.    So far it is ok if the policy negotiation is done within the SR and not in the local policy resolver    It is expected that the chain can be reconfigured (Cache Invaliation)",5
"SL: Provider registration impl. 
CXF Provider registration (to the Service Locator) at startup.   Implementation based on the M0 results for the  incl. heardbeat (Provider availablility check)",3
"SL: Endpoint Resolver
A consumer for the Service Locator which is able to retieve the list of available provider (endpoints) for a given service and uses inital only a random selection strategy to select a single endpoint (provider) out of the list if more then one exists.   The SL client should also be able use the different SL instances and should switch automatically to another SL instance if the one he used before disappeared.    Workflow to be supported on the consumer:  - For a given Service get the list of existing providers (instances) from the SL.  - Select from the list the endpoint to be used by just using a simple startegy to randomly pick one entry from the list but design.  - Keep the selected endpoint also fro subsequent requests  - Refresh (reload list from SL) the list of endpoints when the current selected Endpoint results in a 'connection refused' error  - use the new endpoint    Remark:   We also should try to use/leverage/take into account the fail over feature which is available in CXF.      (Remark: we mainly leverage here Zookeeper client features)",3
"SL: Installation & User Manual (Draft)
Installation / Configuration manual for SL (Draft)",3
"STS: Issue standard SAMLToken - SAML 1.1
Implement the Issue operation of the STS Framework service to support the following Inbound/Outbound Tokens:    Inbound: UsernameToken, X.509 Token  Outbound: SAML 1.1 w/ Holder-of-Key and Bearer subject confirmation methods    To verify the incoming UsernameToken it would be ok to use a local file e.g. tomcat_users.xml and for the validation of the X509 Certificate it would be ok to use a local keystore. (.jks) which can be configured (location, user /pwd to access the store)      Target Runtime Environment: Tomcat 6  Optional: OSGi Container  Purpose: It is intended to be an Apache CXF Example implementation to demonstrate how the STS Frameweok service could be used",2
"SR: RTC: Specification of the effective policy format / XML and concrete policy definition for SAMLToken, UsernameToken, Authorization and Compression
Define the new agreed policy format (in detail) which we expect to be send / created by the SR in future. Also provide concrete definition how the policy document for Authentication (SAMLToken, UsernameToken )    Remark: the goal is to get a sclose a s possible to standard WS-Policy and the WS_Security Policy definitations.    Remark: Effectivew Policy is the new name we use in future but it is the same we had named as 'Agreed Policy' before. ",3
"New component: tESBProviderFault
nan",3
"Develop additional TUJs for testing tESBConsumer components
More information about TUJs you can find here:    http://talendforge.org/wiki/doku.php?id=tests:automated_tests:design    Testing results are here:    http://www.talendforge.org/colibri/charts.php",5
"STS: Issue standard SAMLToken - SAML 2.0
As extention/alternative to TESB-281 we also like to issue SAML 2.0 Token on request to demo the new feature in CXF based on the updated WSS4J 1.6 version.    Implement the Issue operation of the STS Framework service to support the following Inbound/Outbound Tokens:    Inbound: UsernameToken, X.509 Token  Outbound: SAML 2.0 w/ Holder-of-Key and Bearer subject confirmation methods    To verify the incoming UsernameToken it would be ok to use a local file e.g. tomcat_users.xml and for the validation of the X509 Certificate it would be ok to use a local keystore. (.jks) which can be configured (location, user /pwd to access the store)      Target Runtime Environment: Tomcat 6  Optional: OSGi Container  Purpose: It is intended to be an Apache CXF Example implementation to demonstrate how the STS Frameweok service could be used and also to demonstrate the new SAML2.0 suppport on CXF based on the new WSS4J 1.6 Lib.",1
"RTC: Authentication Interceptor using STS Client
Implementation of Authentication Interceptor (actually the use of a STS Client to request a SAML Toke and set it in the SOAP Header using a custom part and make sure we not duplicate things already available in the  exsiting Authentication Interceptor) to request a SAML Token (by UsernameToken and/or X509 Certificate)     where the user has to provide a Username/Password for the Username Token  and   a X509 Certificate by the Authentication Callback Handler provided by TESB-154       Transfer the exsiting authentication callback handler to the Talend ESB to allow that a X509 Certificate can be provided to the SAML Token Request Interceptor defined in TESB-476  Also document how callbacks are handled in general for the Talend ESB product using the CXF Bus Context Properties",3
"SL: Integration of Provider Registration and Endpoint Lookup into CXF
Place the SL Provider Registration (CXF Provider side) and Endpoint Lookup (CXF Consumer side) in CXF. It is expeceted that this could be installed to a standard CXF Installation as a Talend ESB SL Feature.    Also the static failover feature which we currently use seems to not be sufficient. Needs to be clarified and most likely also changed.    Also concider and make sure that the feature works in our standard OSGi Container,     Additional:   We also need to finally discuss and aggree with PM if we should support JMS Endpoint at all and if yes if we should allow the Consumer (business user) to limit the endpoint which should be used for this consumer to a certain transport (currently http:/https: or jms:",3
"tESB Provider components should be compatible with tXMLMap
Scope of this backlog item:    * Correct the output and input flows of tESB* components to use Document instead of Strings  * Test that given structure works with tXMLMap  ",2
"Make sure tESB Component TUJs are successfully running
nan",1
"Automatic update of the TOS SVN based on the results of ESB Tooling Hudson build
nan",1
"Add a section in the GettingStarted Guide how to use authentication policies & STS
As a Developer I want to learn how to secure my services and clients and how to take advantage of the CXF STS.    Extend the Rent a Car demo to show how the service can be secured by the new Authenication Interceptor (STS Client) and the SAMl Tokens provided by the STS and the existing CXF Authentication Inteceptor.    Content      * What is an STS, what is the advantage of having an STS compared to have to configure everything locally on clients and services.  	* A diagram about the flow between client STS, and client provider what are artifacts that are exchanged.  	* Describe how to install and run the STS. If possible use the jetty maven plugin for this., Describe what has to be configured, e.g. keystore   	* Describe what has to be configured on the client side / service side and what the purpose is.  	* Decribe how to deploy and run the demo.  	* Describe how to uninstall the demo     Provide the necessary configuration files and extend the maven build to create artifacts usable for the demo.    For the tutorial use X509 Certs (best use the one already provided with the STS itself so it has not to be reconfigured. Server should return a SAML 2.0 token.    Note  Feature might involvet to male sure STS is really included in CXF 2.4 and to synchronize with Dan.    Acceptance Criteria  PO or other person with similar background must be able to get the demo running within 15 minutes.",3
"STS: Refactor existing STS Provider 
* Refactor the existing STS (from M0) to use org.apache. instead of or.talend (and move it so far in a private gitHub Repo)   * Start the ddiscussion baout the feature on CXF User/Dev List (sync with Dan)  * remove the implemenation for the Issue operation and implement/reuse it for the SAML 1.1/2.0 'Example Implementtions (also with org.apache. and also in the privat gitHub repo)     The goal is to contribute during the sprint or at least in March the STS Framework service to a CXF Jira (and then by a commiter to CXF)   and also to contribute the example implementation. ",2
"Refactor and simplify code produced by tESBProvider and tESBConsumer components
nan",5
"Documented Example: Simple JAX-WS Consumer / Provider with STS (UsernameToken)
Provide a documented example with a running JAX-WS consumer / provider which uses the STS with a UsernameToken and could be build and installed with a maven. (similar to the TSF Documented Examples)",2
"Documented Examples: Enable the Rent-a-Car service to use the Service Locator
Documented Examples: Enable the Rent-a-Car service to use the Service Locator so just provide a how to documentation what need to be changed on the base Rent-a-Car deployment to use the Service Lcator feature with the Rent-a-Car example. ",3
"Make Talend ESB Runtime release ready
As a product owner I need to make sure we fulfill all legal obligations and have a reproducible build.    * Add coypright headers to all sources  * Write license file (see TSF and TIF)  * Write Notice file  (see TSF and TIF)  * Write Readme  * List of required third-party libraries and corresponding licences (not part of the project)     Clean up of Maven  * define all plugins used in the build in the root pom and make sure they all have version numbers  * For third-party dependencies define version numbers in the root pom (in the dependency management section)    ",3
"Contribute STS provider & sample implementation to CXF
The STS components we built shall be part of the CXF 2.4.0 release, therefore we have to contribute it as soon as possible. We should initiate the discussion and incorporate as much change requests as possible.    - Initiate further discussion of patch  - Incorporate change requests from ,mailing list.    h3. Acceptance Criteria  * Attach patch with our STS contribution to https://issues.apache.org/jira/browse/CXF-1940  * Initiate further discussion of patch  * Add further patch that covers the more formal changes  ** Fulfill CXF checkstyle rules  ** Use CXF compliant log statements  ** Remove all printStacktrace and println statements   ",3
"Packaging of the project
As R&D team we need to provide two packages for the 4.0  release    One package contains the software, the other the samples and the documentation. Both packages need to be provided as zip and tar.gz.     a) Content of ""software"" package  * TSF 2.4 and TIF 2.6 (CXF, camel Equinox karaf, Active MQ)  * Monitoring Component  * Locator Component  * STS if not yet part of CXF    Structure  {noformat}  /  |--  | |-- bin (command line tools, wsdl2java, etc)  | |-- container (Equinox/Karaf container w/ start/stop scripts etc.)  | |-- docs  | | |-- api (CXF Javadoc)  | |-- etc (configurations)  | |-- lib (CXF/Camel jars)  | |-- lib-samples (jars required for samples, mainly for cxf)  | |-- licenses (license text files for non-Apache licensed stuff)  | |-- modules (CXF modules, should Camel components go here as well instead of lib?)  | |-- samples (CXF/Camel examples)  | |-- add-ons (subdirs for Locator, Monitoring, STS)  |-- LICENSE  |-- NOTICE  |-- README  {noformat}     b) Content of ""documentation"" package  * TSF & TIF samples  * Rent a Car demo  * locator & monitoring sample  * TSF Users Guide  * TIF Users Guide  * Getting Started + Locator Users Guide + installation guide service locator    Structure  {noformat}  /  |--  | |-- docs (User Guides, Getting started, installation guide)  |--    |-- examples (TSF, TIF samples, Rent a Car demo, locator sample, monitoring sample)  {noformat}    - Overall take TSF and TIF packages as blue print  - Release build must use Nexus repository (not maven central)  ",3
"Getting Started Guide for Talend ESB
As a Developer I want to learn the purpose of the Rent a Car Demo and how to run it.    - Intro / Overview  what to expect of this guide  - Small architectural scetch (taken from swordfish demo?), what does the user learn about Talend ESB / CXF  - How to compile the demo and deploy it into the OSGi container  - How to run it. What does the user see / can do  if everything works as expected    Copy / Paste as much as possible from Swordfish demo  Outcome should be in DocBook format      h3. Acceptance Criteria    The PO or some other person with developer skills is able to get the demo running with the help of the guide.",3
"User Guide Service Locator
As a Developer I want to learn how to enable the Service Locator Component for the Rent a Car demo.    - Purpose of ServiceLocator   - What to additionaly deploy  - Where to configure the additional feature  - Where to learn how to install the locator server  - How to run, what should the developer see.    Outcome should be in DocBook format",2
"Build for Talend ESB Studio
nan",1
"Support one-way communication styles in the compponents
nan",5
